Symbol,Mint,Entry Time (IST),Close Time (IST),Hold Time,Entry Price ($),Exit Price ($),Size (SOL),Realized PNL (SOL),PNL %,TP1 Hit,TP2 Hit,Close Reason,TX Signature
"DNA","Fit5gCegUgNfgtSTUheRT2tjtb6ZBLKFkqx1Fxrcpump","10 Jun, 08:45 pm","10 Jun, 08:49 pm","4m","0.00003832","0.00002522","0.1","-0.034186","-34.19","No","No","Staged SL: -34% from peak (2-10m)","bwoLcHdWVkLQ8bdUjGhSvoWML7XLRyge564hwvEk6DkmG2F3n6hyLtt7MPBPfnswjpqWZ9749LPv59htTVFM9Zg"
"STARGRACE","DbLJCVA8f2Bi2UvKCW35kVACAMBhU4Hr8mfcDX95pump","10 Jun, 08:48 pm","10 Jun, 08:49 pm","50s","0.00004825","0.00003093","0.1","-0.035896","-35.90","No","No","Staged SL: -36% in first 2m","3rTXNpW1PTX5LqzYrXGFwaGTiXxrA3dVuxmey1MzyvycNkMP8TGDgbQp4EJDSMPrvZgmgX1gPmcy7UQpwsg8GmhU"
"LIV","DADiWtpDyYGzxdXG1VH6m83aRro8FYvHwE3DuwfKek86","10 Jun, 08:39 pm","10 Jun, 08:39 pm","37s","0.00002882","0.000009368","0.1","-0.067495","-67.49","No","No","Staged SL: -67% in first 2m","5BEfV1QRutmgG9PaJFaYf7nKxbWag9GGET6McubZjdB7RD4759CdJh9BvB4CiFtk4eXuwHEiBQrZNrhYgV86hkst"
"Unredacted","A8EfKafJtWC6N88c98d8bU6d5CBDZUhxZfJbHYCPpump","10 Jun, 08:28 pm","10 Jun, 08:30 pm","1m","0.00002182","0.00001416","0.1","-0.035105","-35.11","No","No","Staged SL: -35% in first 2m","2YkC4Pc5zDWTh33wgiLnHhYMfQvpegNCfs2DvZEFn4pmimfhB3Lusgbz4cnjWT4DMAvutCH6u7hhHkCgoCtReUQT"
"ELON","CjPQWERUR6pp4CUoaM7U2DXEheJwHGTb94NwnsHxpump","10 Jun, 08:17 pm","10 Jun, 08:18 pm","1m","0.00003903","0.000009668","0.1","-0.075229","-75.23","No","No","Staged SL: -75% in first 2m","5rzQHsMXsnv71JsHk45RShZ9PBSsV6UQVS2T21Ld3DXsZg8hPAYaRdUTwNjs4iyyfLA8sycZgvXpfJaDYABM71Sf"
"YZYB","YZYbAx6GokTodmzgXLXMZuWU5RkdB9tFXAzaDuqVBNK","10 Jun, 08:11 pm","10 Jun, 08:19 pm","8m","0.00002637","0.00002293","0.1","-0.013045","-13.05","No","No","Staged SL: -35% from peak (2-10m)","3jVw2RHAcgyjKc5GwgMCtNp9pLuMxkftAM38tYY3ppLuxq2fUYgaXywwG8wLqoTKhUKfjuR1HbnbPVf41N4QgfJu"
"ELON","8fiegpuKk3YqtSERRvrheDU5ryTZeZzGynkRfK5zpump","10 Jun, 08:05 pm","10 Jun, 08:05 pm","29s","0.00006031","0.00004718","0.1","-0.021771","-21.77","No","No","Staged SL: -22% in first 2m","3hmH8uqhp2txnCjPL62D29FYFAXTTqEsUKAa7UmhP13FbrwqUvBP84SsQVifb7LZNrvEPAqvHqP7EHCURNXAER1G"
"ELON","6Bgyhq65EXBcDBdk3j3RRRdZsyhDmeEcjsgzDxXDpump","10 Jun, 08:02 pm","10 Jun, 08:03 pm","1m","0.00003293","0.00002184","0.1","-0.033677","-33.68","No","No","Staged SL: -34% in first 2m","5puuYTxeQruKYooFMqcttVoFRpsibNg2SkswgvBRDBQ56sEQUduTWmUPh4Ac4jVLjaTNMfjs7LcxJUcC7adAPxeg"
"PUP","95LqAprdEk9eMtyjrXoVXWLFqLWx3FY5uqYYt4dQpump","10 Jun, 07:45 pm","10 Jun, 08:07 pm","22m","0.00005742","0.00007221","0.1","0.025758","25.76","No","No","Staged SL: -32% from peak (>10m)","3fx2UiM6Ch1peKnb7oXGSjgCfaXYJYqgiQ5qnRUNcAetnQJvf1Q86UuTf8r7ZPZdQ1iwMMh7eXpGgxa3vwjwy2ec"
"EMBER","7RHxQQUWG9fCskqocSV9zPkWPLJqcceWTcUCjnwMpump","10 Jun, 07:41 pm","10 Jun, 08:05 pm","23m","0.00002405","0.00002347","0.1","-0.002412","-2.41","No","No","Staged SL: -30% from peak (>10m)","zjmd5RaWx4sRPrKhMa5zxgpJ65EiCoZQxb4Yce3bGGuu4wizLw5XoJg8rhNqFGaZWdL3qyYTf3GuQ3se9DamWXy"
